employeeId,employeeName,employeeStatus,password
1,Ahmad bin Abdullah,1,3f7g9h2k
2,Siti binti Ali,0,j4k5l6m7
3,Tan Wei Ling,0,n8o9p0q1
4,Lee Chee Seng,0,r2s3t4u5
5,Rajesh Kumar,0,v6w7x8y9
6,Ng Mei Yen,0,z0a1b2c3
7,Mohd Zaki bin Omar,0,d4e5f6g7
8,Lim Hui Min,0,h8i9j0k1
9,Wong Kai Sheng,0,l2m3n4o5
10,Nurul Aisyah binti Aziz,1,p6q7r8s9
11,Goh Wei Xian,0,t0u1v2w3
12,Lee Mei Ling,1,x4y5z6a7
13,Ramesh Singh,0,b8c9d0e1
14,Tan Siew Hoon,0,f2g3h4i5
15,Ali bin Abu Bakar,1,j6k7l8m9
16,Jonathan Siew ,0,abc123ab
17,Raga,0,abc123ab
"18","Aiman","0","abc123ab"
